,이름,설치지점,주소,lat,lng
189,르노삼성자동차 강남지점,도로변(횡단보도 포함),서울 강남구 언주로 551,37.50699313,127.0396545
190,영동전화국,"정류소(버스, 택시 등)",서울 강남구 언주로98길 5,37.50517701,127.0421758
191,역삼 2번지하보도(테헤란로301),기타(지하보도 앞),서울 강남구 테헤란로 301,37.50312564,127.0430688
192,서울 전통 육개장,"정류소(버스, 택시 등)",서울 강남구 언주로 516,37.50476826,127.0420685
193,LGU+ K버스정류장 IDC논현센터,"정류소(버스, 택시 등)",서울 강남구 언주로 616,37.51104663,127.0369839
194,임페리얼 팔레스,"정류소(버스, 택시 등)",서울시 강남구 언주로 640,37.51409813,127.0358848
195,세븐일레븐 논현2호점,"정류소(버스, 택시 등)",서울특별시 강남구 논현동 106-7,37.5172807,127.0357438
196,두산타워,도로변(횡단보도 포함),서울 강남구 언주로 726,37.51938164,127.0351975
197,아크로갤러리,"정류소(버스, 택시 등)",서울특별시 강남구 언주로 812,37.52296234,127.0338735
198,윤당 아트홀,"정류소(버스, 택시 등)",서울 강남구 언주로 844,37.52565512,127.0337298
199,현대아파트 92동앞,"정류소(버스, 택시 등)",서울 강남구 압구정로 309,37.53192115,127.0355385
200,국대떡볶이 압구정로데오점,"정류소(버스, 택시 등)",서울 강남구 선릉로 815,37.52486582,127.0393276
201,LGU+ 강남구청역점,"정류소(버스, 택시 등)",서울 강남구 선릉로 635 1층,37.5131553,127.0424731
202,KS병원,"정류소(버스, 택시 등)",서울 강남구 선릉로 571,37.50931819,127.0439442
203,선릉역7번출구,지하철역 입구,서울 강남구 역삼동 802-31,37.50358287,127.0493526
204,선릉역8번출구,지하철역 입구,서울 강남구 삼성동 141-36,37.50496208,127.0490373
205,아크로텔,"정류소(버스, 택시 등)",서울 강남구 선릉로 524,37.50665507,127.0483862
206,건우한의원,"정류소(버스, 택시 등)",서울 강남구 선릉로 630,37.51282834,127.0431623
207,나래(한미르빌딩),도로변(횡단보도 포함),서울 강남구 선릉로 646,37.51419597,127.0426906
208,도시빌딩,"정류소(버스, 택시 등)",서울 강남구 선릉로 714,37.51862798,127.0409742
209,영동고교입구,"정류소(버스, 택시 등)",서울 강남구 선릉로 742,37.52138901,127.0437393
210,버거킹 청담점,"정류소(버스, 택시 등)",서울 강남구 선릉로 812,37.52430491,127.0397249
211,Tag Heuer,도로변(횡단보도 포함),서울 강남구 선릉로 828,37.5258359,127.0402337
212,청담성모치과,"정류소(버스, 택시 등)",서울 강남구 삼성로 767,37.52310582,127.0476074
213,청기와 아트갤러리,도로변(횡단보도 포함),서울 강남구 삼성로 755,37.52227131,127.0480641
214,피카소 라운지,도로변(횡단보도 포함),서울 강남구 삼성로148길 10,37.52371079,127.048619
215,설빙 청담공원점,"정류소(버스, 택시 등)",서울특별시 강남구 삼성로 725,37.52021814,127.0490704
216,청담역8번 출구,지하철역 입구,서울 강남구 청담동 77-72,37.51961322,127.0496883
217,상아아파트 2동앞(학동로446),"정류소(버스, 택시 등)",서울 강남구 학동로 445,37.51909256,127.0496091
218,노브랜드 강남삼성점,도로변(횡단보도 포함),서울 강남구 삼성로 633,37.51629386,127.0511078
219,센트럴 아이파크 304동 앞,"정류소(버스, 택시 등)",서울 강남구 삼성로 629,37.51578641,127.0513192
220,BK타워,도로변(횡단보도 포함),서울 강남구 삼성로 547,37.51034965,127.0543738
221,삼성주유소,"정류소(버스, 택시 등)",서울 강남구 삼성로 563,37.51188486,127.053593
222,리칭,도로변(횡단보도 포함),서울 강남구 삼성로 520,37.5087063,127.0559201
223,홈플러스 익스프레스 삼성2점,"정류소(버스, 택시 등)",서울 강남구 삼성로 548,37.5106173,127.055031
224,강남구도시관리공단,"정류소(버스, 택시 등)",서울 강남구 삼성로 628,37.51591066,127.0521426
225,청담역6번 출구,지하철역 입구,서울 강남구 삼성동 52,37.5185913,127.0507368
226,청담역9번 출구,지하철역 입구,서울 강남구 청담동 76-4,37.51936319,127.0503294
227,아베뉴 주노,"정류소(버스, 택시 등)",서울 강남구 삼성로 740,37.52151067,127.0493968
228,토담골,"정류소(버스, 택시 등)",서울 강남구 삼성로 766,37.52326037,127.0482058
229,리버뷰오피스텔,"정류소(버스, 택시 등)",서울 강남구 영동대로 721,37.52220444,127.0553049
230,대신증권 청담WM센터,"정류소(버스, 택시 등)",서울 강남구 영동대로 707,37.5207073,127.0559457
231,청담역13번 출구,지하철역 입구,서울 강남구 청담동 77-4,37.52319948,127.0553539
232,청담역2번출구,지하철역 입구,서울 강남구 영동대로 647,37.51965028,127.0566188
233,동남철물,"정류소(버스, 택시 등)",서울 강남구 영동대로 613,37.51490246,127.0593499
234,무역센터 위 (공항버스정류장 인근),"정류소(버스, 택시 등)",서울 강남구 테헤란로 521,37.50919169,127.0608069
235,무역센터,도로변(횡단보도 포함),서울 강남구 영동대로 513,37.51182391,127.059159
236,인터콘티넨탈호텔,"정류소(버스, 택시 등)",서울 강남구 테헤란로 521,37.50919169,127.0608069
237,삼성역6번 출구,지하철역 입구,서울 강남구 삼성동 111-8,37.51446311,127.0600977
238,삼성역7번 출구,지하철역 입구,서울 강남구 삼성동 111-8,37.51446311,127.0600977
239,한국산업은행 강남지점,"정류소(버스, 택시 등)",서울 강남구 영동대로 421,37.50700127,127.0635321
240,한전앞,도로변(횡단보도 포함),서울 강남구 영동대로 512,37.51193015,127.0646402
241,GM대우,"정류소(버스, 택시 등)",서울 강남구 영동대로 340,37.50506456,127.0658301
242,청담역1번출구,지하철역 입구,서울 강남구 삼성동 111-8,37.51446311,127.0600977
243,청담역14번 출구,지하철역 입구,서울 강남구 청담동 77-4,37.52319948,127.0553539
244,우리은행 청담동금융센터,"정류소(버스, 택시 등)",서울 강남구 영동대로 708,37.52105731,127.0571374
245,국민은행 청담영동지점,도로변(횡단보도 포함),서울 강남구 영동대로 720,37.52218767,127.0564609
246,영동낙지(제일정형외과),"정류소(버스, 택시 등)",서울 강남구 영동대로 726,37.52282078,127.0561406
247,미켈란(삼성동 147-2),도로변(횡단보도 포함),서울 강남구 봉은사로 516,37.51323652,127.0559958
248,한국촌(삼성동 153-29),도로변(횡단보도 포함),서울시 강남구 테헤란로87길 57,37.5112868,127.0571911
249,심스빌딩,도로변(횡단보도 포함),서울 강남구 테헤란로87길 39,37.51033999,127.0576427
250,K타워(삼성동 158-23),도로변(횡단보도 포함),서울 강남구 테헤란로 513,37.50802541,127.0588878
251,세븐럭카지노,도로변(횡단보도 포함),서울 강남구 테헤란로87길 58,37.51201518,127.0575397
252,서울의료원,"정류소(버스, 택시 등)",서울 강남구 봉은사로114길 43,37.5130361,127.0666548
253,서울의료원,도로변(횡단보도 포함),서울 강남구 봉은사로114길 43,37.5130361,127.0666548
254,현대오트론,도로변(횡단보도 포함),서울 강남구 테헤란로113길 12,37.51129299,127.0665296
255,24길2번지 (버스정류장 ID:20-157),버스정류장 옆,서울 동작구 노량진로24길 2,37.51238829,126.9530502
256,248번지(노들지구대 앞),가로변,서울 동작구 노량진로 248,37.51240231,126.9536371
257,노들역 (버스정류장 ID:20-014),중앙차로 버스정류장,서울 동작구 노량진로 226,37.51249078,126.9509408
258,224번지(노량진우체국),가로변,서울 동작구 노량진로 224,37.51246533,126.9506359
259,노들역 (버스정류장 ID:20-013),중앙차로 버스정류장,서울 동작구 노량진로 212,37.51262307,126.9495107
260,동작구청앞 버스정류장 (버스정류장 ID:20-944),가로변,서울 동작구 국사봉길 42,37.49767976,126.9299796
261,191(사육신묘앞),가로변,서울 동작구 노량진로 191,37.51345799,126.9494111
262,16길 33번지,가로변,서울 동작구 노량진로 16길 33,37.51205898,126.9441735
263,223번지,가로변,서울 동작구 노량진로 223,37.51296888,126.950792
264,112번지(다이소 앞),가로변,서울 동작구 만양로 112,37.51333627,126.944421
265,노량진동 116-2(한성주창장앞),가로변,서울 동작구 만양로 112,37.51333627,126.944421
266,143-1번지,가로변,서울 동작구 장승배기로 143-1,37.51044817,126.9399431
267,102(나이스가이 헤어숍),가로변,서울 동작구 장승배기로 102,37.50673118,126.9399843
268,124번지,가로변,서울 동작구 노량진로 124,37.51327301,126.9396191
269,160(노량진초등학교 앞),가로변,서울 동작구 장승배기로 160,37.51175038,126.9408242
270,128번지(기업은행 앞),가로변,서울 동작구 장승배기로 128,37.50894894,126.9407441
271,노량진로 152-1(해박난치과),가로변,서울 동작구 노량진로 152-1,37.5134559,126.9428572
272,53길39번지 (버스정류장 ID:20-244),마을버스정류장 옆,서울 동작구 상도로53길 41,37.50084913,126.9535372
273,268번지,가로변,서울 동작구 양녕로 268,37.50349967,126.9488562
274,1길17 동양아파트 (버스정류장 ID:20-917),가로변,서울 동작구 서달로 61,37.49960807,126.9601642
275,봉현초등학교 (버스정류장 ID:20-167),버스정류장 옆,서울 관악구 성현로 117,37.49121654,126.9553519
276,383-1 번지,가로변,서울 동작구 상도로 383-1,37.49493655,126.9551866
277,357번지 (버스정류장 ID:20-165),가로변,서울 동작구 상도로 364-1,37.49607411,126.9534246
278,22번지 (버스정류장 ID:20-169),버스정류장 옆,서울 동작구 사당로 24-1,37.49507152,126.9571326
279,352번지,가로변,서울 동작구 상도로 352,37.49698948,126.9526144
280,267(상도역3번출구 옆),가로변,서울 동작구 상도로 267,37.50357997,126.9476864
281,6번지(백두공인중개사),가로변,서울 동작구 만양로 6,37.5049819,126.9467885
282,숭실대별관앞 (버스정류장 ID:20-172),버스정류장 옆,서울 동작구 서달로 4,37.49510214,126.9612432
283,134번지,가로변,서울 동작구 상도로 134,37.50202508,126.9347761
284,269-1번지,가로변,서울 동작구 양녕로 269-1,37.50403979,126.9487843
285,156번지,가로변,서울 동작구 상도로 156,37.50321477,126.936603
286,73번지(상도치안센타 옆),마을버스정류장 옆,서울 동작구 장승배기로 73,37.50416206,126.9391163
287,78번지,가로변,서울 동작구 장승배기로 78,37.50460583,126.9395109
288,147번지,가로변,서울 동작구 상도로 78,37.49954498,126.9291481
289,181번지,가로변,서울 동작구 상도로 181,37.50495795,126.9388305
290,동작보건소 (버스정류장 ID:20-153),버스정류장 옆,서울 동작구 상도로 207,37.50557126,126.9418563
291,경향렉스빌 (버스정류장 ID:20-222),마을버스정류장 옆,서울 동작구 양녕로 167,37.49703023,126.9419634
292,94번지(주작나무 한의원 앞),가로변,서울 동작구 상도로 94,37.49976294,126.9311525
293,104번지(왕세숫대야냉면),가로변,서울 동작구 보라매로 104,37.49843389,126.9283123
294,101번지(삼거리 왕만두),가로변,서울 동작구 보라매로 101,37.49832802,126.9278528
295,서울공업고등학교 (버스정류장 ID:20-144),버스정류장 옆,서울 동작구 상도로 5,37.50031185,126.9212173
296,16번지,가로변,서울 동작구 상도로 16,37.49971809,126.9223178
297,강남중학교 (버스정류장 ID: 20-006),버스 중앙차로,서울 동작구 여의대방로 188-1,37.50370277,126.9220128
298,22번지 우성아파트 (버스정류장 ID:20-927),마을버스정류장 옆,서울 동작구 여의대방로 8,37.49310363,126.9106015
299,교수아파트 (버스정류장 ID:20-928),버스정류장 옆,서울 동작구 여의대방로10길 14,37.49632776,126.9139635
300,2-5 (버스정류장 ID:20-207),마을버스정류장 옆,서울 동작구 신대방동 702-9,37.486855,126.9116057
301,6번지 (버스정류장 ID:20-107),가로변,서울 동작구 알마타길 6,37.50985709,126.9249542
302,동작상떼빌아파트 (버스정류장 ID:20-001),버스 중앙차로,서울 동작구 시흥대로 606,37.48649178,126.9055262
303,123번지(대방할인마트 앞),가로변,서울 동작구 등용로 123,37.5121047,126.9317236
304,현대아파트 (버스정류장 ID:20-007),버스중앙차로,서울 동작구 노량진로 48,37.51300948,126.9310925
305,현대아파트유한양행 (버스정류장 ID:20-008),버스중앙차로,서울 동작구 노량진로 53,37.51394028,126.9343584
306,40번지 (버스정류장 ID:20-593),마을버스정류장 옆,서울 동작구 등용로 40-2,37.50585079,126.9343589
307,15길 8-12(흑석역4번출구),지하철 9호선 옆,서울 동작구 흑석동 4,37.50850223,126.9640091
308,124번지(조선일보뉴지엄),가로변,서울 동작구 현충로 124,37.50629298,126.9671455
309,흑석동 효사정 앞 (버스정류장 ID:20-123),버스정류장 옆,서울 동작구 현충로2길 4,37.51147936,126.9604498
310,108번지,가로변,서울 동작구 현충로 108,37.50735772,126.9653423
311,동작실버센터입구 (버스정류장 ID:20-251),버스정류장 옆,서울특별시 동작구 현충로 4,37.51307286,126.9565574
312,4번지 효사정 앞 (버스정류장 ID:20-124),버스정류장 옆,서울 동작구 현충로2길 4,37.51147936,126.9604498
313,151번지 (버스정류장 ID:20-130),버스정류장 옆,서울 동작구 현충로 151,37.50677865,126.9689342
314,111번지 (버스정류장 ID:20-127), 버스정류장 옆,서울 동작구 현충로 105,37.50783722,126.9656085
315,158번지,가로변,서울 동작구 서달로 158,37.50706767,126.9623304
316,경문고등학교 (버스정류장 ID:22-031),중앙차로,서울 서초구 동작대로 156,37.49040771,126.9830322
317,경문고교 배나무골앞 (버스정류장 ID:20-017),중앙차로,서울 서초구 동작대로 164,37.49128782,126.9830588
318,171번지(경문고앞),가로변,서울 동작구 동작대로 171,37.49341886,126.9822734
319,정금마을 (버스정류장 ID:22-033),중앙차로,서울 서초구 동작대로 188,37.49330077,126.9830939
320,정금마을 방배경찰서 (버스정류장 ID:20-016),중앙차로,서울 강남구 강남대로 574,37.51310262,127.0208594
321,235번지 깨마을 (버스정류장 ID:20-015),버스 중앙차로,서울 동작구 동작대로 235,37.49774536,126.9831928
322,239번지,가로변,서울 동작구 동작대로 239,37.49816652,126.9833949
323,국립현충원( (버스정류장 ID:20-133),버스정류장 옆,서울 동작구 동작동 193,37.50177055,126.9765621
324,국립현충원( (버스정류장 ID:20-134),버스정류장 옆,서울 동작구 현충로 지하 220,37.503067,126.9779371
325,남성시장 (버스정류장 ID:20-018),버스중앙차로,서울 동작구 동작대로 135,37.48870348,126.98197
326,남성시장 (버스정류장 ID:22-029),버스중앙차로,서울 서초구 동광로12가길 42,37.48751839,126.9826007
327,101번지(다비치안경 앞),가로변,서울 동작구 동작대로 101,37.48566776,126.9816748
328,121번지(미샤 앞),가로변,서울 동작구 동작대로 121,37.48747989,126.9818602
329,23길2(세븐일레븐 앞),가로변,서울 동작구 사당로23길 2,37.48419216,126.9774055
330,사당시장 (버스정류장 ID:20-180),버스정류장 옆,서울 동작구 사당로 227,37.48375843,126.9731992
331,남성역 (버스정류장 ID:20-178),버스정류장 옆,서울 동작구 사당로13길 31,37.485803,126.9712548
332,300번지 (버스정류장 ID: 20-184),버스정류장 옆,서울 동작구 사당로 300,37.48437909,126.9802816
333,254번지 (버스정류장 ID:20-252),버스정류장 옆,서울특별시 동작구 사당로 258,37.4833506,126.9763821
334,138(사당지구대 앞),가로변,서울 동작구 사당로 138,37.4889591,126.9657026
335,19(한국전력 앞),지하철 옆,서울 동작구 동작대로 19,37.47830883,126.9809585
336,27번지(IBK기업은행 앞),가로변,서울 동작구 동작대로 27,37.47892328,126.9812457
337,67번지(더본병원 앞),가로변,서울 동작구 동작대로 67,37.48254699,126.9814807
338,방배노인복지관  (버스정류장 ID: 20-020),버스 중앙차로,서울 동작구 동작대로 43,37.480418,126.9814562
339,이수역 (버스정류장 ID:20-027),버스정류장 옆,서울 서초구 동작대로 68,37.48258227,126.9823422
340,사당동우체국앞 (버스정류장 ID:20-019),가로변,서울 동작구 동작대로 75,37.48337906,126.9814111
341,천수공원앞(사당역7번출구),가로변,서울 동작구 사당동 1043-16,37.47691663,126.9811547
342,2019번지,가로변,서울 동작구 남부순환로 2019,37.47624974,126.9729965
343,2069번지,가로변,서울 동작구 남부순환로 2069,37.4769346,126.9787779
344,106-5 번지,가로변,서울 동작구 흑석로 106-5,37.50789163,126.9614593
345,108(신한은행) (버스정류장 ID:20194),버스정류장 옆,서울 동작구 흑석로 108,37.50804485,126.9613439
346,114-5(올리브 영),가로변,서울 동작구 노량진로 114,37.51301138,126.9386122
347,만양로3길20 신동아리버파크,가로변,서울 동작구 만양로3길 20,37.50821071,126.9461189
348,노들역앞 정류장 (버스정류장 ID:20-247),버스정류장 옆,서울 동작구 노량진로 247,37.51453063,126.9524302
349,강남교회 앞 정류장 (버스정류장 ID:20-819),버스정류장 옆,서울 동작구 만양로 76,37.51032643,126.9451015
350,노량진역앞 7번출구,지하철역 앞,서울 동작구 노량진동 60-11,37.51358514,126.9409045
351,노량진로 223 (버스정류장 ID:20-121),가로변,서울 동작구 노량진로 225,37.51295292,126.9509895
352,사당로 285(이디야 커피숍 앞),가로변,서울 동작구 사당로 285,37.48464911,126.9791825
353,태평백화점 앞,가로변,서울특별시 동작구 동작대로 115,37.48687637,126.9816652
354,남부순환로 2057(다이소 앞),가로변,서울 동작구 남부순환로 2057,37.47693443,126.9773597
355,총신대 (버스정류장 ID:20-174),버스정류장 옆,서울 동작구 사당로 138,37.4889591,126.9657026
356,172번지(새마을금고 앞),가로변,서울 동작구 사당로 172,37.48649618,126.9678971
357,남성초등학교 (버스정류장 ID:20-496),버스정류장 옆,서울 동작구 사당로 261,37.48380753,126.9765731
358,194 (버스정류장 ID:20-600),버스정류장 옆,서울 동작구 사당로 192,37.48516816,126.9695229
359,대림로 14 (버스정류장 ID:20-208),버스정류장 옆,서울 동작구 대림로 12-1,37.48745978,126.9117698
360,등용로 96 (버스정류장 ID:20-106),버스정류장 옆,서울 동작구 여의대방로44길 10,37.50736122,126.9260908
361,658(올리브 영 앞),가로변,서울 동작구 시흥대로 658,37.49037497,126.9080767
362,126,가로변,서울 동작구 여의대방로 126,37.49813971,126.9205554
363,177번지 (버스정류장 ID:20-892),마을버스정류장 옆,서울 동작구 양녕로 177,37.49715225,126.9429326
364,상도로 357 (버스정류장 ID:20-166),버스정류장 옆,서울 동작구 상도로 357,37.49693976,126.9535408
365,중앙하이츠빌 아파트 (버스정류장 ID:20-162),버스정류장 옆,서울 동작구 상도동 462-1,37.49871991,126.9509585
366,상도시장 (버스정류장 ID:20-160),버스정류장 옆,서울 동작구 상도로 290,37.50168115,126.9486088
367,16-1번지,가로변,서울 동작구 장승배기로 16-1,37.5000022,126.9428848
368,"양재역 3,4번출구사이",도로변(횡단보도 포함),서울 강남구 도곡동 958-3,37.48460701,127.0350363
369,도곡동 949-3,도로변(횡단보도 포함),서울 강남구 강남대로 262,37.48696036,127.0334452
370,역삼동 837,도로변(횡단보도 포함),서울 강남구 강남대로 318,37.49156937,127.0311803
371,역삼동 826-22,"정류소(버스, 택시 등)",서울 강남구 강남대로 368,37.49572837,127.029258
372,강남역 2번출구 앞,지하철역 입구,서울 강남구 역삼동 825-13,37.49740798,127.0283489
373,강남역 1번출구 앞,지하철역 입구,서울 강남구 역삼동 804,37.50124939,127.0383316
