이름,음식이 맛있어요,인테리어가 멋져요,친절해요,가성비가 좋아요,재료가 신선해요,뷰가 좋아요,매장이 청결해요,특별한 날 가기 좋아요,혼밥하기 좋아요,특별한 메뉴가 있어요,단체모임 하기 좋아요,양이 많아요,매장이 넓어요,화장실이 깨끗해요,주차하기 편해요,대화하기 좋아요,오래 머무르기 좋아요,음악이 좋아요,술이 다양해요,차분한 분위기에요,아늑해요,고기 질이 좋아요,사진이 잘 나와요,혼술하기 좋아요,음료가 맛있어요,기본 안주가 좋아요,빵이 맛있어요,커피가 맛있어요,집중하기 좋아요,좌석이 편해요,디저트가 맛있어요,비싼 만큼 가치있어요,룸이 잘 되어있어요,반려동물과 가기 좋아요,현지 맛에 가까워요,메뉴 구성이 알차요,야외 공간이 멋져요,컨셉이 독특해요,리뷰자수,별점,별점자 수,가중치
청담오후,49,28,24,18,12,12,11,8,7,6,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4.57,132,0.0324
뷰티그로서리,87,24,19,5,67,4,13,2,25,54,0,10,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,4.26,159,0.0364
비스트로상수,67,29,50,7,30,4,28,21,9,26,4,8,16,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,4.9,140,0.0368
모스가든,60,58,33,3,29,32,9,30,0,35,14,0,35,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,4.26,150,0.0343
신사890,419,337,339,34,69,45,152,200,2,138,35,46,42,90,4,38,33,29,28,19,18,13,13,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,457,4.97,318,0.0848
조인바이트,166,177,70,15,49,64,42,95,0,44,57,14,27,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,4.26,193,0.0441
FIREBELL 대치본점,186,25,31,10,45,5,31,3,54,32,4,24,40,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,4.43,445,0.1058
윌로뜨,142,71,119,13,96,2,66,133,3,131,5,3,9,41,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,4.26,183,0.0418
압구정제주집,531,56,352,117,270,5,158,30,21,192,80,129,61,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,4.6,595,0.1469
롤린우드,0,39,14,2,0,7,28,0,0,24,0,0,0,6,1,14,0,0,0,0,0,0,18,0,14,0,40,32,5,3,0,0,0,0,0,0,0,0,87,4.26,141,0.0322
꽁티드툴레아,857,697,530,25,172,271,134,308,15,366,32,19,77,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,4.26,582,0.1331
SADDLER HAUS,0,185,212,26,0,15,139,0,0,343,0,0,0,24,5,38,0,0,0,0,0,0,88,0,89,0,0,153,2,8,938,0,0,0,0,0,0,0,1093,4.55,4310,1.0525
스케줄청담,203,155,71,0,28,12,41,76,2,60,28,6,91,3,4,26,0,0,0,0,0,0,45,0,0,0,0,0,0,0,26,39,13,5,0,0,0,0,369,4.26,229,0.0524
까폼,808,96,236,107,168,5,37,37,34,407,11,187,13,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,4.51,1504,0.364
까사밀,229,148,173,46,62,37,113,102,2,47,72,22,62,32,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,4.68,339,0.0851
문어랑 상록점,106,14,61,21,51,5,41,10,0,50,38,15,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,4.26,157,0.0359
세바,27,20,18,2,6,0,9,1,1,20,5,0,2,4,6,5,6,3,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4.96,22,0.0059
쏭타이 역삼점,216,95,93,21,61,0,42,24,14,80,3,26,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,4.55,516,0.126
Ginos NY Pizza 압구정점,107,35,45,13,23,0,22,9,6,41,19,15,32,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,4.26,161,0.0368
킹박스,306,100,123,68,76,7,107,20,27,139,22,77,98,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,4.77,306,0.0783
모터시티바이매니멀강남점,29,1,9,1,0,2,4,1,0,11,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4.31,82,0.019
더블트러블 유니온,161,68,68,10,43,5,55,6,33,59,3,17,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,4.46,421,0.1008
워커비,5,19,14,3,0,0,8,0,0,3,1,0,0,7,0,2,2,25,17,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,4.26,121,0.0277
레브 바,46,49,37,10,0,0,25,0,0,24,7,0,0,7,0,21,13,34,30,0,0,0,6,3,3,16,0,4,0,2,3,0,0,0,0,0,0,0,116,4.26,150,0.0343
크라이치즈버거 삼성역점,1199,48,224,522,349,17,146,11,407,127,16,98,253,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,4.54,2534,0.6174
스페인클럽 가로수본점,44,12,19,5,11,0,9,14,0,28,5,4,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,72,4.26,136,0.0311
올데이피자 서비스,73,36,40,18,41,11,16,6,4,16,2,17,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,4.58,103,0.0253
UPPERWEST,101,67,65,6,39,7,36,41,3,42,11,8,27,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,4.45,227,0.0542
바 밀라,142,84,130,10,36,7,45,70,3,107,5,2,5,18,9,8,4,1,16,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,183,4.86,178,0.0464
뉴욕라츠오베이글스,0,164,227,41,0,142,108,0,0,230,0,0,0,28,11,123,0,0,0,0,0,0,108,0,118,0,729,161,34,40,0,0,0,0,0,0,0,0,942,4.54,1156,0.2817
큰돈가 신사점,118,6,58,25,59,3,19,8,3,32,28,31,20,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,4.65,172,0.0429
레옹앤마틸다,2,27,21,6,0,0,16,0,0,3,0,0,0,7,0,21,3,1,0,0,0,0,16,0,23,0,0,21,7,6,13,0,0,0,0,0,0,0,50,4.97,70,0.0187
슈퍼막셰,7,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4.75,11,0.0028
블랙루머 BLACK RUMOR,37,37,45,23,33,3,50,1,20,55,2,13,9,2,1,12,0,0,0,0,0,0,13,0,18,0,0,23,5,4,25,0,0,0,0,0,0,0,120,4.26,151,0.0345
페인팅룸,0,48,50,13,0,1,14,1,0,4,0,0,1,12,0,14,0,0,0,0,0,0,36,0,10,0,0,4,37,3,0,0,0,0,0,0,0,0,66,4.91,353,0.093
메종 르자당,328,372,269,5,118,84,188,199,1,96,44,5,98,38,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,501,4.26,271,0.062
에드엣,200,95,151,57,79,6,90,47,2,109,11,6,12,21,0,33,0,0,13,0,0,0,19,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,240,4.84,164,0.0426
카페드로우지,344,260,260,8,79,179,133,120,4,95,71,5,128,34,32,0,0,0,0,0,0,0,0,0,43,0,0,26,0,0,0,0,0,29,0,0,60,0,513,4.91,256,0.0675
미엘,15,12,9,1,0,0,5,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,8,0,5,0,0,5,0,3,4,0,0,0,0,0,0,6,37,4.26,303,0.0693
핀치브런치바,84,40,46,2,67,5,38,14,14,71,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4.89,74,0.0194
자매의 부엌,99,57,82,4,72,2,43,52,2,42,14,1,11,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,4.47,197,0.0473
달마시안,485,553,189,20,124,209,127,243,1,147,49,42,189,62,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,4.26,431,0.0985
틴틴 강남점,329,247,178,2,74,31,108,91,6,128,43,1,106,31,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,11,0,59,0,0,458,4.26,257,0.0588
다운타우너 청담,1309,241,394,69,403,17,215,47,150,346,14,97,85,41,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,4.6,2824,0.6972
마사 타코,224,18,66,25,56,1,22,9,14,65,9,45,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,4.42,450,0.1067
어썸로즈,735,473,580,269,195,31,280,465,8,135,27,105,57,140,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,4.77,2702,0.6917
위트앤미트 강남점,759,331,259,21,208,11,168,50,81,379,6,70,42,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,4.26,401,0.0917
에이치피 서울,145,135,91,13,28,18,73,36,3,57,13,15,43,23,0,14,8,36,15,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,215,4.87,129,0.0337
호쿠모쿠,104,43,35,9,18,12,13,15,0,37,4,22,8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,4.34,313,0.0729
돈페페,51,10,32,11,0,0,3,0,0,14,12,0,0,4,0,22,11,4,28,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,100,4.31,124,0.0287
비단콤마,93,92,82,7,30,7,64,4,4,45,3,9,25,10,18,22,0,0,0,0,0,0,9,0,11,0,0,28,8,15,12,0,0,0,0,0,0,0,189,4.33,372,0.0864
오마주,21,18,18,0,0,0,10,1,0,9,1,0,0,0,0,9,4,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,32,4.8,21,0.0054
아트나인&잇나인,0,103,79,25,0,140,52,0,0,69,0,0,0,31,22,66,0,0,0,0,0,0,28,0,41,0,0,40,31,53,24,0,0,0,0,0,0,0,267,4.5,753,0.1819
바이슨버거,57,8,10,7,20,0,12,0,12,7,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4.65,148,0.0369
3공간 사당,22,27,19,3,0,0,5,0,0,6,22,0,0,8,1,27,7,2,13,0,0,0,10,0,0,5,0,0,0,0,0,0,14,1,0,0,0,0,52,4.26,130,0.0297