이름,주소,lat,lng
청담오후,서울특별시 강남구 청담동 40-32 2층,37.5182026489684,127.041143284938
뷰티그로서리,서울특별시 강남구 신사동 648-16,37.5236802988279,127.036763364289
비스트로상수,서울특별시 강남구 개포동 1228-5,37.4753310146382,127.047471509417
모스가든,서울특별시 강남구 논현동 30-6,37.5166432571116,127.028368948292
웨이크앤베이크 청담,서울특별시 강남구 신사동 645-27,37.5257760555736,127.034591420204
신사890,서울특별시 강남구 신사동 514-21,37.5175638984028,127.021568755737
조인바이트,서울특별시 강남구 삼성동 36-11,37.5114842170655,127.044636524053
FIREBELL,서울특별시 강남구 대치동 908-17,37.50037882937,127.052227537095
윌로뜨,서울특별시 강남구 청담동 19-17,37.5227355988604,127.043397505646
압구정제주집,서울특별시 강남구 신사동 588-12,37.5215078043625,127.031108231004
롤린우드,서울특별시 강남구 청담동 20-29,37.5218247502385,127.042724803911
꽁티드툴레아,서울특별시 강남구 신사동 646-21,37.5255461397417,127.0369069345
SADDLER HAUS,서울특별시 강남구 신사동 561-8,37.5194075005189,127.024929370262
스케줄청담,서울특별시 강남구 청담동 90-19,37.5246703923702,127.042708439503
까폼,서울특별시 강남구 신사동 655-15,37.5248824767007,127.037995569644
까사밀,서울특별시 강남구 신사동 527-2,37.5219901573521,127.019548864743
문어랑 상록점,"서울특별시 강남구 역삼동 699 1층,2층",37.5054440272558,127.042531117617
놀로스퀘어,서울특별시 강남구 청담동 46 놀로스퀘어,37.5194408603474,127.049030052105
세바,서울특별시 강남구 신사동 629-1 1층,37.5217165029977,127.031686825534
쏭타이 역삼점,서울특별시 강남구 역삼동 664-32,37.5057156600436,127.040275414321
Ginos NY Pizza 압구정점,서울특별시 강남구 신사동 655-3 1층 지노스피자,37.5253940380312,127.038360101047
킹박스,서울특별시 강남구 논현동 21-16 1층,37.5140360831288,127.021211554556
모터시티바이매니멀강남점,서울특별시 강남구 역삼동 817-33 2층,37.5005734089483,127.027895690669
하드워커,"서울특별시 강남구 삼성동 153-32 1,2층",37.5110897710743,127.056965106352
더블트러블 유니온,서울특별시 강남구 신사동 523-28,37.5215203955029,127.021001116727
워커비,서울특별시 강남구 신사동 652-11 지하1층,37.5235903664718,127.037941858635
레브,서울특별시 강남구 신사동 663 1층,37.526850610913,127.038041593644
크라이치즈버거 삼성역점,서울특별시 강남구 대치동 996-17 미래에셋벤처타워 B1층,37.5090518078941,127.065286260932
스페인클럽 가로수본점,서울특별시 강남구 신사동 524-30,37.5219074907337,127.021859600098
올데이피자 서비스,서울특별시 강남구 신사동 559-10,37.5201526768883,127.025966589463
UPPERWEST,서울특별시 강남구 신사동 542-4,37.5198652105414,127.023611792398
바 밀라,서울특별시 강남구 청담동 12-12,37.5231868816954,127.046550549685
사루비아,서울특별시 강남구 신사동 542-3 1층,37.5200388334573,127.023613657026
피더블유에이,서울특별시 강남구 신사동 657-41 1층 PWA,37.5255455957961,127.038608381845
뉴욕라츠오베이글스,서울특별시 강남구 신사동 642-6,37.5267934810124,127.036636828798
큰돈가 신사점,서울특별시 서초구 잠원동 14-13,37.5159563133486,127.018464453311
레옹앤마틸다,서울특별시 강남구 신사동 555-25 102호,37.5214665802869,127.024845553185
슈퍼막셰 커피앤델리 신사역점,서울특별시 강남구 신사동 514-18 1층 슈퍼막셰 커피앤델리 신사역점,37.517217885208,127.021225237195
블랙루머 BLACK RUMOR,서울특별시 강남구 신사동 660-17 A동 105호,37.5279746084345,127.03720035046
페인팅룸,서울특별시 강남구 신사동 644-13 은미르빌딩 B1 페인팅룸,37.5266280945066,127.035630910854
메종 르자당,서울특별시 강남구 신사동 650-14 2층,37.5233067034434,127.036015086764
에드엣,서울특별시 강남구 신사동 524-23 지하1층,37.522066402717,127.021504440502
카페드로우지,"서울특별시 강남구 신사동 642-8 4층, 5층 루프탑",37.5265945951062,127.036748729985
미엘,서울특별시 강남구 청담동 94-3 퍼즐하우스,37.5252621993483,127.043616061316
핀치브런치바,서울특별시 강남구 신사동 523-36,37.5214804632413,127.020590698802
자매의 부엌,서울특별시 강남구 신사동 520-7,37.520920685786,127.022003089236
달마시안,서울특별시 강남구 신사동 634-17,37.5262391014126,127.034520136348
틴틴,서울특별시 강남구 역삼동 810-4,37.5035395601418,127.026144500956
다운타우너 청담,서울특별시 강남구 신사동 666-25,37.5240481464448,127.038558061015
마사 타코,서울특별시 강남구 신사동 524-29,37.5220053614262,127.021741528423
어썸로즈,서울특별시 강남구 신사동 520-7,37.5036831515798,127.027462901463
위트앤미트 강남점,서울특별시 강남구 역삼동 616-4 1층,37.502838474867,127.027393830983
에이치피 서울,서울특별시 강남구 역삼동 812-13,37.5279387655815,127.037714855996
호쿠모쿠,서울특별시 강남구 신사동 660-14 1층,37.4794256139606,126.980826051567
돈페페,서울특별시 동작구 사당동 1031-4,37.5038799849199,126.942775389314
비단콤마,서울특별시 동작구 상도동 535,37.4805277948455,126.980680939739
오마주,서울특별시 동작구 사당동 1029-37 1층,37.484760958426,126.981520500294
아트나인&잇나인,서울특별시 동작구 사당동 147-53,37.5000250785138,126.925845645699
바이슨버거,서울특별시 동작구 대방동 395-18 1층,37.4810262439185,126.981308639244
3공간,서울특별시 동작구 사당동 1019-21,37.4817174341039,126.973445792311